id,created_at,heart_rate,spo2,temperature,humidity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ir_value,red_value,finger_detected,seizure
100000,2026-09-06 10:00:00.000 +0530,73.3,97.9,30,51.9,-0.21,-0.025,0.377,1.786,0.624,1.041,2742,981,true,0
100001,2026-09-06 10:00:01.000 +0530,77.3,98.1,30,48.5,-0.18,0.172,0.353,1.915,0.886,0.491,2644,934,true,0
100002,2026-09-06 10:00:02.000 +0530,78.4,97.9,30,51.0,-0.137,0.002,0.395,0.788,-0.217,0.788,2535,961,true,0
100003,2026-09-06 10:00:03.000 +0530,77.3,97.4,30,48.5,-0.207,0.059,0.359,2.655,0.923,1.122,2817,933,true,0
100004,2026-09-06 10:00:04.000 +0530,70.9,97.6,30,51.5,-0.22,0.244,0.284,1.121,0.969,1.498,2791,959,true,0
100005,2026-09-06 10:00:05.000 +0530,81.1,98.0,30,49.5,-0.124,-0.021,0.353,2.203,0.59,1.253,2805,1062,true,0
100006,2026-09-06 10:00:06.000 +0530,77.1,97.7,30,48.9,-0.124,0.04,0.344,2.599,0.447,0.897,2369,824,true,0
100007,2026-09-06 10:00:07.000 +0530,71.2,98.2,30,50.5,-0.179,0.092,0.437,2.715,0.796,0.646,2863,927,true,0
100008,2026-09-06 10:00:08.000 +0530,80.1,98.0,30,49.8,-0.073,0.088,0.309,1.097,0.647,1.498,2847,948,true,0
100009,2026-09-06 10:00:09.000 +0530,62.1,98.4,30,49.4,-0.25,0.08,0.488,1.156,0.55,1.477,2620,875,true,0
100010,2026-09-06 10:00:10.000 +0530,74.5,97.4,30,48.1,-0.129,0.08,0.533,2.225,1.178,0.544,2678,923,true,0
100011,2026-09-06 10:00:11.000 +0530,82.7,97.2,30,51.7,-0.077,0.13,0.354,1.583,0.263,1.068,2665,1041,true,0
100012,2026-09-06 10:00:12.000 +0530,70.9,98.2,30,49.8,-0.179,0.138,0.466,1.965,0.309,1.16,2793,934,true,0
100013,2026-09-06 10:00:13.000 +0530,70.5,98.6,30,51.9,-0.098,0.123,0.373,3.722,0.785,0.896,2720,1004,true,0
100014,2026-09-06 10:00:14.000 +0530,74.6,98.3,30,49.5,-0.338,0.101,0.368,1.514,1.005,1.213,2521,936,true,0
100015,2026-09-06 10:00:15.000 +0530,73.0,97.3,30,50.5,-0.26,0.117,0.389,1.538,0.84,1.355,2572,927,true,0
100016,2026-09-06 10:00:16.000 +0530,74.0,99.1,30,51.9,-0.224,0.073,0.502,1.993,1.484,0.845,2763,866,true,0
100017,2026-09-06 10:00:17.000 +0530,70.5,98.0,30,51.0,-0.368,0.22,0.337,3.394,0.348,1.102,3270,839,true,0
100018,2026-09-06 10:00:18.000 +0530,66.5,97.7,30,51.9,-0.097,0.062,0.222,1.652,1.134,1.163,2348,898,true,0
100019,2026-09-06 10:00:19.000 +0530,81.0,99.1,30,51.2,-0.299,0.021,0.354,2.403,0.903,0.833,2493,846,true,0
100020,2026-09-06 10:00:20.000 +0530,68.2,98.3,30,49.9,-0.164,0.187,0.356,2.801,0.56,0.739,2579,1007,true,0
